title,year,genres,imdb,intent_1,intent_2,cluster_1,cluster_2,joy,sadness,fear,anger,disgust,surprise,trust,anticipation,curiosity,excitement,hope,love,guilt,shame,gratitude,loneliness,confidence,determination,regret,relief,nostalgia,compassion,anxiety,inspiration
Inception,2010,Sci-Fi|Thriller,8.8,contemplation,adrenaline,engagement,meaning_growth,0.05,0.09,0.11,0.08,0.04,0.08,0.07,0.09,0.09,0.08,0.07,0.04,0.03,0.02,0.03,0.05,0.07,0.09,0.06,0.07,0.05,0.05,0.08,0.06
Toy Story 3,2010,Animation|Comedy|Family,8.3,nostalgia,comfort,positive_energy,emotional_pain,0.14,0.09,0.05,0.05,0.02,0.07,0.09,0.08,0.06,0.07,0.11,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.06,0.06,0.06
The Social Network,2010,Biography|Drama,7.8,contemplation,inspiration,engagement,meaning_growth,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Black Swan,2010,Drama|Thriller,8.0,catharsis,contemplation,emotional_pain,dark_intensity,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
Shutter Island,2010,Mystery|Thriller,8.2,contemplation,catharsis,engagement,dark_intensity,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
The King's Speech,2010,Biography|Drama,8.0,inspiration,comfort,meaning_growth,emotional_pain,0.08,0.11,0.07,0.07,0.04,0.06,0.09,0.08,0.07,0.07,0.1,0.06,0.03,0.02,0.07,0.05,0.09,0.1,0.07,0.08,0.06,0.06,0.08,0.08
127 Hours,2010,Adventure|Biography|Drama,7.5,inspiration,catharsis,meaning_growth,emotional_pain,0.08,0.11,0.07,0.07,0.04,0.06,0.09,0.08,0.07,0.07,0.1,0.06,0.03,0.02,0.07,0.05,0.09,0.1,0.07,0.08,0.06,0.06,0.08,0.08
True Grit,2010,Drama|Western,7.6,contemplation,adrenaline,dark_intensity,engagement,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
The Fighter,2010,Biography|Drama|Sport,7.8,inspiration,catharsis,meaning_growth,emotional_pain,0.08,0.11,0.07,0.07,0.04,0.06,0.09,0.08,0.07,0.07,0.1,0.06,0.03,0.02,0.07,0.05,0.09,0.1,0.07,0.08,0.06,0.06,0.08,0.08
Tangled,2010,Animation|Adventure|Comedy,7.7,comfort,romance,positive_energy,meaning_growth,0.14,0.09,0.05,0.05,0.02,0.07,0.09,0.08,0.06,0.07,0.11,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.06,0.06,0.06
Harry Potter and the Deathly Hallows Part 2,2011,Adventure|Fantasy,8.1,nostalgia,adrenaline,engagement,emotional_pain,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
The Help,2011,Drama,8.1,inspiration,catharsis,meaning_growth,emotional_pain,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Drive,2011,Action|Drama,7.8,contemplation,adrenaline,dark_intensity,engagement,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
The Artist,2011,Comedy|Drama|Romance,7.9,nostalgia,romance,positive_energy,emotional_pain,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Midnight in Paris,2011,Comedy|Fantasy|Romance,7.7,nostalgia,romance,positive_energy,meaning_growth,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Moneyball,2011,Biography|Drama|Sport,7.6,contemplation,inspiration,meaning_growth,engagement,0.08,0.11,0.07,0.07,0.04,0.06,0.09,0.08,0.07,0.07,0.1,0.06,0.03,0.02,0.07,0.05,0.09,0.1,0.07,0.08,0.06,0.06,0.08,0.08
Warrior,2011,Action|Drama|Sport,8.1,catharsis,inspiration,emotional_pain,meaning_growth,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Rango,2011,Animation|Adventure|Comedy,7.2,comfort,contemplation,positive_energy,meaning_growth,0.14,0.09,0.05,0.05,0.02,0.07,0.09,0.08,0.06,0.07,0.11,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.06,0.06,0.06
Rise of the Planet of the Apes,2011,Action|Drama|Sci-Fi,7.6,contemplation,adrenaline,engagement,meaning_growth,0.05,0.09,0.11,0.08,0.04,0.08,0.07,0.09,0.09,0.08,0.07,0.04,0.03,0.02,0.03,0.05,0.07,0.09,0.06,0.07,0.05,0.05,0.08,0.06
Hugo,2011,Adventure|Drama|Family,7.5,nostalgia,inspiration,positive_energy,meaning_growth,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
The Avengers,2012,Action|Sci-Fi,8.0,adrenaline,comfort,engagement,positive_energy,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
The Dark Knight Rises,2012,Action|Drama,8.4,adrenaline,inspiration,dark_intensity,meaning_growth,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Django Unchained,2012,Drama|Western,8.4,adrenaline,catharsis,dark_intensity,engagement,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Life of Pi,2012,Adventure|Drama|Fantasy,7.9,contemplation,inspiration,meaning_growth,emotional_pain,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Skyfall,2012,Action|Thriller,7.8,adrenaline,nostalgia,engagement,dark_intensity,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Silver Linings Playbook,2012,Comedy|Drama|Romance,7.7,romance,catharsis,emotional_pain,positive_energy,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Argo,2012,Biography|Drama|Thriller,7.7,adrenaline,inspiration,engagement,meaning_growth,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
Les Misérables,2012,Drama|Musical|Romance,7.5,catharsis,inspiration,emotional_pain,meaning_growth,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
The Hobbit An Unexpected Journey,2012,Adventure|Fantasy,7.8,adrenaline,nostalgia,engagement,positive_energy,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Lincoln,2012,Biography|Drama|History,7.3,contemplation,inspiration,meaning_growth,emotional_pain,0.08,0.11,0.07,0.07,0.04,0.06,0.09,0.08,0.07,0.07,0.1,0.06,0.03,0.02,0.07,0.05,0.09,0.1,0.07,0.08,0.06,0.06,0.08,0.08
Don't Look Up,2013,Comedy|Drama,6.1,comfort,comfort,engagement,meaning_growth,0.15,0.07,0.05,0.06,0.04,0.07,0.09,0.08,0.06,0.07,0.1,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.06
John Wick Chapter 3,2013,Biography|Drama,8.2,contemplation,adrenaline,engagement,meaning_growth,0.08,0.11,0.07,0.07,0.04,0.06,0.09,0.08,0.07,0.07,0.1,0.06,0.03,0.02,0.07,0.05,0.09,0.1,0.07,0.08,0.06,0.06,0.08,0.08
Carol,2013,Sport|Drama,7.4,nostalgia,contemplation,emotional_pain,emotional_pain,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Ghostbusters Afterlife,2013,Animation|Comedy,7.9,catharsis,,emotional_pain,meaning_growth,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Space Jam A New Legacy,2013,Action|Adventure,8.6,nostalgia,contemplation,emotional_pain,meaning_growth,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
