title,year,genres,imdb,intent_1,intent_2,cluster_1,cluster_2,joy,sadness,fear,anger,disgust,surprise,trust,anticipation,curiosity,excitement,hope,love,guilt,shame,gratitude,loneliness,confidence,determination,regret,relief,nostalgia,compassion,anxiety,inspiration
The Dark Knight,2008,Action|Crime|Drama,9.0,adrenaline,,dark_intensity,engagement,0.03,0.08,0.18,0.16,0.04,0.06,0.05,0.07,0.06,0.09,0.04,0.00,0.02,0.01,0.00,0.03,0.06,0.05,0.03,0.02,0.00,0.01,0.03,0.03
Inception,2010,Sci-Fi|Thriller,8.8,contemplation,adrenaline,engagement,meaning_growth,0.03,0.05,0.12,0.06,0.02,0.08,0.04,0.10,0.12,0.09,0.06,0.02,0.01,0.00,0.00,0.02,0.05,0.07,0.08,0.04,0.02,0.01,0.00,0.01,0.02,0.04
Interstellar,2014,Sci-Fi|Drama,8.7,contemplation,inspiration,meaning_growth,emotional_pain,0.06,0.14,0.08,0.04,0.01,0.04,0.06,0.07,0.10,0.05,0.11,0.04,0.01,0.00,0.00,0.04,0.07,0.09,0.06,0.04,0.03,0.02,0.01,0.03,0.02,0.06
Joker,2019,Drama|Thriller,8.4,catharsis,,emotional_pain,dark_intensity,0.01,0.18,0.16,0.15,0.05,0.06,0.02,0.04,0.04,0.05,0.01,0.00,0.06,0.04,0.00,0.08,0.05,0.02,0.03,0.05,0.02,0.01,0.00,0.01,0.04,0.01
Forrest Gump,1994,Drama|Romance,8.8,comfort,inspiration,positive_energy,meaning_growth,0.15,0.10,0.01,0.01,0.00,0.03,0.10,0.06,0.04,0.03,0.14,0.12,0.00,0.00,0.08,0.03,0.06,0.05,0.07,0.04,0.02,0.06,0.07,0.05,0.01,0.09
Titanic,1997,Romance|Drama,7.9,catharsis,romance,emotional_pain,meaning_growth,0.06,0.18,0.05,0.02,0.01,0.05,0.05,0.06,0.03,0.02,0.10,0.14,0.00,0.00,0.04,0.05,0.02,0.06,0.04,0.02,0.05,0.08,0.06,0.04,0.02,0.05
La La Land,2016,Romance|Drama|Music,8.0,romance,inspiration,positive_energy,emotional_pain,0.16,0.12,0.01,0.01,0.00,0.05,0.06,0.08,0.04,0.04,0.12,0.14,0.00,0.00,0.05,0.03,0.02,0.05,0.04,0.02,0.06,0.09,0.03,0.04,0.02,0.06
The Shawshank Redemption,1994,Drama,9.3,inspiration,comfort,meaning_growth,emotional_pain,0.10,0.12,0.04,0.02,0.00,0.03,0.08,0.05,0.04,0.02,0.18,0.05,0.02,0.00,0.06,0.03,0.02,0.04,0.10,0.06,0.04,0.08,0.04,0.05,0.02,0.10
Avengers: Endgame,2019,Action|Sci-Fi,8.4,adrenaline,nostalgia,engagement,meaning_growth,0.10,0.12,0.06,0.05,0.01,0.06,0.08,0.08,0.04,0.08,0.10,0.05,0.02,0.00,0.04,0.03,0.02,0.05,0.08,0.06,0.03,0.06,0.10,0.04,0.02,0.07
John Wick,2014,Action|Thriller,7.4,adrenaline,,dark_intensity,engagement,0.02,0.04,0.14,0.22,0.06,0.06,0.03,0.07,0.04,0.14,0.02,0.00,0.01,0.00,0.00,0.02,0.01,0.02,0.10,0.12,0.03,0.01,0.00,0.01,0.05,0.01
Get Out,2017,Horror|Thriller,7.7,adrenaline,contemplation,dark_intensity,meaning_growth,0.01,0.08,0.18,0.08,0.07,0.09,0.03,0.05,0.06,0.06,0.03,0.00,0.02,0.01,0.00,0.04,0.05,0.03,0.04,0.02,0.01,0.00,0.01,0.07,0.02
Fight Club,1999,Drama|Thriller,8.8,catharsis,,dark_intensity,emotional_pain,0.02,0.10,0.10,0.18,0.05,0.05,0.03,0.06,0.06,0.08,0.02,0.00,0.05,0.03,0.00,0.07,0.04,0.02,0.04,0.07,0.02,0.01,0.00,0.02,0.06,0.01
